DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-29 16:10:38; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-29 16:10:38; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-29 16:10:38; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 2620 (2017-03-29 16:10:38; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 16:11:15; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-29 16:11:15; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-29 16:11:16; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-29 16:11:16; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 4722 (2017-03-29 16:11:16; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 16:12:08; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-29 16:12:08; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-29 16:12:08; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-29 16:12:08; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 2603 (2017-03-29 16:12:08; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 16:35:53; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'sBIT' 41 4 (2017-03-29 16:35:53; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: b'sBIT' 41 4 (unknown) (2017-03-29 16:35:53; PngImagePlugin.py:542)
DEBUG:PIL.PngImagePlugin: STREAM b'pHYs' 57 9 (2017-03-29 16:35:53; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'tEXt' 78 25 (2017-03-29 16:35:53; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 115 35268 (2017-03-29 16:35:54; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 16:36:37; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'sBIT' 41 4 (2017-03-29 16:36:37; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: b'sBIT' 41 4 (unknown) (2017-03-29 16:36:37; PngImagePlugin.py:542)
DEBUG:PIL.PngImagePlugin: STREAM b'pHYs' 57 9 (2017-03-29 16:36:37; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'tEXt' 78 25 (2017-03-29 16:36:37; PngImagePlugin.py:135)
